timestamp,open,high,low,close,volume
2025-01-02 06:30:00,470.00,471.00,469.80,470.50,10000
2025-01-02 06:31:00,470.60,471.20,470.30,470.90,11000
2025-01-02 06:32:00,470.90,471.50,470.80,471.40,12000
2025-01-02 06:33:00,471.20,471.70,471.00,471.60,13000
2025-01-02 06:34:00,471.50,471.80,471.10,471.70,12500
2025-01-02 06:35:00,471.80,472.40,471.60,472.20,15000
2025-01-02 06:36:00,472.10,472.60,471.90,472.50,16000
2025-01-02 06:37:00,472.40,472.55,471.50,471.60,15500
2025-01-02 06:38:00,471.55,471.70,471.20,471.30,14000
2025-01-02 06:39:00,471.25,471.40,471.00,471.10,13000
