timestamp,open,high,low,close,volume
2025-10-24T06:30:00,500,500.28,499.73,500,100500
2025-10-24T06:31:00,500,500.32,499.72,500.01,101000
2025-10-24T06:32:00,500.01,500.36,499.71,500.03,101500
2025-10-24T06:33:00,500.03,500.4,499.72,500.05,102000
2025-10-24T06:34:00,500.05,500.45,499.73,500.08,102500
2025-10-24T06:35:00,500.08,500.5,499.75,500.11,103000
2025-10-24T06:36:00,500.11,500.54,499.77,500.14,103500
2025-10-24T06:37:00,500.14,500.58,499.79,500.17,104000
2025-10-24T06:38:00,500.17,500.62,499.82,500.2,104500
2025-10-24T06:39:00,500.2,500.65,499.85,500.23,105000
2025-10-24T06:40:00,500.23,500.67,499.88,500.26,105500
2025-10-24T06:41:00,500.26,500.69,499.92,500.29,106000
2025-10-24T06:42:00,500.29,500.71,499.96,500.32,106500
2025-10-24T06:43:00,500.32,500.71,500,500.34,107000
2025-10-24T06:44:00,500.34,500.71,500.03,500.36,107500
2025-10-24T06:45:00,500.36,500.7,500.06,500.37,108000
2025-10-24T06:46:00,500.37,500.68,500.09,500.38,108500
2025-10-24T06:47:00,500.38,500.66,500.12,500.39,109000
2025-10-24T06:48:00,500.39,500.65,500.14,500.39,109500
2025-10-24T06:49:00,500.39,500.68,500.12,500.4,110000
2025-10-24T06:50:00,500.4,500.72,500.11,500.41,110500
2025-10-24T06:51:00,500.41,500.76,500.11,500.43,111000
2025-10-24T06:52:00,500.43,500.81,500.12,500.45,111500
2025-10-24T06:53:00,500.45,500.85,500.12,500.47,112000
2025-10-24T06:54:00,500.47,500.89,500.13,500.5,112500
2025-10-24T06:55:00,500.5,500.94,500.16,500.53,113000
2025-10-24T06:56:00,500.53,500.98,500.18,500.56,113500
2025-10-24T06:57:00,500.56,501.01,500.21,500.59,114000
2025-10-24T06:58:00,500.59,501.04,500.24,500.62,114500
2025-10-24T06:59:00,500.62,501.06,500.27,500.65,115000
2025-10-24T07:00:00,500.65,501.08,500.31,500.68,115500
2025-10-24T07:01:00,500.68,501.09,500.35,500.71,116000
2025-10-24T07:02:00,500.71,501.1,500.39,500.73,116500
2025-10-24T07:03:00,500.73,501.1,500.42,500.75,117000
2025-10-24T07:04:00,500.75,501.09,500.46,500.77,117500
2025-10-24T07:05:00,500.77,501.08,500.49,500.78,118000
2025-10-24T07:06:00,500.78,501.05,500.52,500.78,118500
2025-10-24T07:07:00,500.78,501.04,500.52,500.78,119000
2025-10-24T07:08:00,500.78,501.07,500.51,500.79,119500
2025-10-24T07:09:00,500.79,501.11,500.5,500.8,120000
2025-10-24T07:10:00,500.8,501.15,500.5,500.82,120500
2025-10-24T07:11:00,500.82,501.2,500.5,500.84,121000
2025-10-24T07:12:00,500.84,501.24,500.51,500.86,121500
2025-10-24T07:13:00,500.86,501.28,500.52,500.89,122000
2025-10-24T07:14:00,500.89,501.33,500.55,500.92,122500
2025-10-24T07:15:00,500.92,501.37,500.57,500.95,123000
2025-10-24T07:16:00,500.95,501.4,500.6,500.98,123500
2025-10-24T07:17:00,500.98,501.43,500.63,501.01,124000
2025-10-24T07:18:00,501.01,501.45,500.66,501.04,124500
2025-10-24T07:19:00,501.04,501.47,500.7,501.07,125000
2025-10-24T07:20:00,501.07,501.48,500.74,501.1,125500
2025-10-24T07:21:00,501.1,501.49,500.78,501.12,126000
2025-10-24T07:22:00,501.12,501.48,500.81,501.14,126500
2025-10-24T07:23:00,501.14,501.47,500.85,501.15,127000
2025-10-24T07:24:00,501.15,501.45,500.87,501.16,127500
2025-10-24T07:25:00,501.16,501.43,500.9,501.16,128000
2025-10-24T07:26:00,501.16,501.43,500.9,501.16,128500
2025-10-24T07:27:00,501.16,501.46,500.89,501.17,129000
2025-10-24T07:28:00,501.17,501.5,500.88,501.18,129500
2025-10-24T07:29:00,501.18,501.54,500.88,501.2,130000
