"Ts","Symbol","Side","Qty","Entry","Exit","Fees","KellyF","Confidence","Regime","PageId","LastEdited","Url"
,"SELFTEST","BUY","1","1.01","1.02","0.01",,"0.5","neutral","2a50bf31-ef15-8155-8c80-e26e752e05b6","2025-11-08 2:09:00 PM","https://www.notion.so/Buy-SELFTEST-2a50bf31ef1581558c80e26e752e05b6"
,"AAPL","BUY","100","225.3","226.05","1.2",,"0.62","bull","2a50bf31-ef15-8113-8e80-c4242e846d70","2025-11-08 2:06:00 PM","https://www.notion.so/Buy-AAPL-2a50bf31ef1581138e80c4242e846d70"
,"AAPL","BUY","100","225.3","226.05","1.2",,"0.62","bull","2a50bf31-ef15-81d1-9c38-f8ff965c5c4e","2025-11-08 1:37:00 PM","https://www.notion.so/Buy-AAPL-2a50bf31ef1581d19c38f8ff965c5c4e"
,"AAPL","BUY","100","225.3","226.05","1.2",,"0.62","bull","2a50bf31-ef15-819a-9b16-d21b7d955ffd","2025-11-08 1:08:00 PM","https://www.notion.so/Buy-AAPL-2a50bf31ef15819a9b16d21b7d955ffd"
,"AAPL","BUY","100","225.3","226.05","1.2",,"0.62","bull","2a50bf31-ef15-8167-b7d8-d432111d7da3","2025-11-08 12:44:00 PM","https://www.notion.so/Buy-AAPL-2a50bf31ef158167b7d8d432111d7da3"
,"AAPL","BUY","100","225.3","226.05","1.2",,"0.62","bull","2a50bf31-ef15-81eb-a2ae-dd8ebc4d98c7","2025-11-08 12:32:00 PM","https://www.notion.so/Buy-AAPL-2a50bf31ef1581eba2aedd8ebc4d98c7"
,"AAPL","BUY","100","225.3","226.05","1.2",,"0.62","bull","2a50bf31-ef15-8175-9df7-e6f5242e5896","2025-11-08 12:27:00 PM","https://www.notion.so/Buy-AAPL-2a50bf31ef1581759df7e6f5242e5896"
,"AAPL","BUY","100","225.3","226.05","1.2",,"0.62","bull","2a50bf31-ef15-81e1-9447-dbf858b4066b","2025-11-08 12:24:00 PM","https://www.notion.so/Buy-AAPL-2a50bf31ef1581e19447dbf858b4066b"
,"AAPL",,,,,,,,,"2a50bf31-ef15-8183-83ff-d6d5314a3e97","2025-11-08 12:20:00 PM","https://www.notion.so/SMOKE-2a50bf31ef15818383ffd6d5314a3e97"
"2025-11-01T20:46:00.000+00:00",,,,,,,,,,"29f0bf31-ef15-81f5-a2c6-e9d41fc95464","2025-11-01 8:46:00 PM","https://www.notion.so/Smoke-OK-2025-11-01T20-46-16-29f0bf31ef1581f5a2c6e9d41fc95464"
"2025-11-01T20:44:00.000+00:00",,,,,,,,,,"29f0bf31-ef15-8192-81de-c4531e8ed4c4","2025-11-01 8:44:00 PM","https://www.notion.so/Smoke-OK-2025-11-01T20-44-11-29f0bf31ef15819281dec4531e8ed4c4"
,,,,,,,,,,"29f0bf31-ef15-80a5-a481-c718aef075dd","2025-11-01 8:42:00 PM","https://www.notion.so/API-OK-2025-11-01-20-42-29f0bf31ef1580a5a481c718aef075dd"
,,,,,,,,,,"29f0bf31-ef15-8099-8b93-e6dfef5bd501","2025-11-01 5:22:00 PM","https://www.notion.so/29f0bf31ef1580998b93e6dfef5bd501"
,,,,,,,,,,"29f0bf31-ef15-8002-8207-d5ae94e40fb1","2025-11-01 5:22:00 PM","https://www.notion.so/29f0bf31ef1580028207d5ae94e40fb1"
,,,,,,,,,,"29f0bf31-ef15-80cd-b9dd-e83c946d67d7","2025-11-01 5:18:00 PM","https://www.notion.so/29f0bf31ef1580cdb9dde83c946d67d7"
,"SPY","BUY","1",,,,,,"neutral","29e0bf31-ef15-8126-8459-e06485b32029","2025-10-31 11:45:00 PM","https://www.notion.so/SMK-20251031-SPY-BUY-x1-500-Open-29e0bf31ef1581268459e06485b32029"
,"SPY","BUY","1",,,,,,"neutral","29e0bf31-ef15-8157-8760-f8d17e56cbb6","2025-10-31 11:43:00 PM","https://www.notion.so/Smoke-OK-api-via-func-29e0bf31ef1581578760f8d17e56cbb6"
